Food Item Name,Label,Description,Amount,Type,Other Info,Dinning Hall
"Cappuccino Flavored, Short",vegetarian,A 12 oz. cup of brewed coffee with steamed milk with your choice of flavoring.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Cappuccino Flavored, Tall",vegetarian,A 16 oz. cup of brewed coffee with steamed milk with your choice of flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Cappuccino, Grande",vegetarian,A 20 oz. cup of brewed coffee with steamed milk.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Cappuccino, Short",vegetarian,A 12 oz. cup of brewed coffee with steamed milk.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Cappuccino, Tall",vegetarian,A 16 oz. cup of hot skim milk with your choice of syrup flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
Caramel Jitterbug,vegetarian,"Brewed espresso with caramel syrup, caramel sauce, and whipped cream.",2 Oz,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Caramel Macchiato, Grande",vegetarian,A 20 oz. cup of freshly steamed milk with espresso and caramel flavoring.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Caramel Macchiato, Short",vegetarian,A 12 oz. cup of freshly steamed milk with espresso and caramel flavoring.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Caramel Macchiato, Tall",vegetarian,A 16 oz. cup of freshly steamed milk with espresso and caramel flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Chai, Grande",vegetarian,A 20 oz. cup of vanilla chai tea with milk.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Chai, Short",vegetarian,A 12 oz. cup of vanilla chai tea with milk.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Chai, Tall",vegetarian,A 16 oz. cup of vanilla chai tea with milk.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Coffee, Grande",vegan,A 20 oz. cup of fresh brewed coffee.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Coffee, Tall",vegan,A 16 oz. cup of fresh brewed coffee.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
Espresso Blend,vegan,Brewed espresso blend.,2 Oz,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Hot Cocoa, Tall w/Whipped cream",vegetarian,A 16 oz. cup of gourmet hot chocolate with marshmallows and whipped cream.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Italian Steamer, Grande",vegetarian,A 20 oz. cup of warm milk with your choice of flavoring.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Italian Steamer, Short",vegetarian,A 12 oz. cup of warm milk with your choice of flavoring.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Italian Steamer, Tall",vegetarian,A 16 oz. cup of warm milk with your choice of flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Latte Flavored, Grande",vegetarian,A 20 oz. cup of espresso with steamed milk and your choice of flavoring.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Latte Flavored, Short",vegetarian,A 12 oz. cup of espresso with steamed milk and your choice of flavoring.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Latte Flavored, Tall",vegetarian,A 16 oz. cup of espresso with steamed milk and your choice of flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Latte, Grande",vegetarian,A 20 oz. cup of espresso with steamed milk.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Latte, Short",vegetarian,A 12 oz. cup of espresso with steamed milk.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Latte, Tall",vegetarian,A 16 oz. cup of espresso with steamed milk.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Mocha Latte, Grande",vegetarian,A 20 oz. cup of brewed espresso with steamed milk and mocha syrup.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Mocha Latte, Short",vegetarian,A 12 oz. cup of brewed espresso with steamed milk and mocha syrup.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Mocha Latte, Tall",vegetarian,A 16 oz. cup of brewed espresso with steamed milk and mocha syrup.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cafe Aulait, Grande",vegan,A 20 oz. cup of brewed coffee mixed with hot soy milk.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cafe Aulait, Short",vegan,A 12 oz. cup of brewed coffee mixed with hot soy milk.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cafe Aulait, Tall",vegan,A 16 oz. cup of brewed coffee mixed with hot soy milk.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cappuccino Flavored, Grande",vegan,A 20 oz. cup of brewed coffee with steamed soy milk with your choice of flavoring.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cappuccino Flavored, Short",vegan,A 12 oz. cup of brewed coffee with steamed soy milk with your choice of flavoring.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cappuccino Flavored, Tall",vegan,A 16 oz. cup of brewed coffee with steamed soy milk with your choice of flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cappuccino, Grande",vegan,A 20 oz. cup of brewed coffee with steamed soy milk.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cappuccino, Short",vegan,A 12 oz. cup of brewed coffee with steamed soy milk.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Cappuccino, Tall",vegan,A 16 oz. cup of brewed coffee with steamed soy milk.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Caramel Macchiato, Grande",vegetarian,A 20 oz. cup of freshly steamed soy milk with espresso and caramel flavoring.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Caramel Macchiato, Short",vegetarian,A 12 oz. cup of freshly steamed soy milk with espresso and caramel flavoring.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Caramel Macchiato, Tall",vegetarian,A 16 oz. cup of freshly steamed soy milk with espresso and caramel flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Chai, Grande",vegetarian,A 20 oz. cup of vanilla chai tea with soy milk.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Chai, Short",vegetarian,A 12 oz. cup of vanilla chai tea with soy milk.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Chai, Tall",vegetarian,A 16 oz. cup of vanilla chai tea with soy milk.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Latte Flavored, Grande",vegan,A 20 oz. cup of espresso with steamed soy milk and your choice of flavoring.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Latte Flavored, Short",vegan,A 12 oz. cup of espresso with steamed soy milk and your choice of flavoring.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Latte Flavored, Tall",vegan,A 16 oz. cup of espresso with steamed soy milk and your choice of flavoring.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Latte, Grande",vegan,A 20 oz. cup of espresso with steamed soy milk.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Latte, Short",vegan,A 12 oz. cup of espresso with steamed soy milk.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Latte, Tall",vegan,A 16 oz. cup of espresso with steamed soy milk.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Mocha Latte, Grande",vegan,A 20 oz. cup of brewed espresso with steamed soy milk and mocha syrup.,1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Mocha Latte, Short",vegan,A 12 oz. cup of brewed espresso with steamed soy milk and mocha syrup.,1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Mocha Latte, Tall",vegan,A 16 oz. cup of brewed espresso with steamed soy milk and mocha syrup.,1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Swanson Special, Grande",vegetarian,"A 20 oz. cup of our signature drink made from coffee, cocoa, and soymilk. Seasoned with cinnamon and topped with whipped cream.",1 Grande,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Swanson Special, Short",vegetarian,"A 12 oz. cup of our signature drink made from coffee, cocoa, and soymilk. Seasoned with cinnamon and topped with whipped cream.",1 Short,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Swanson Special, Tall",vegetarian,"A 16 oz. cup of our signature drink made from coffee, cocoa, and soymilk. Seasoned with cinnamon and topped with whipped cream.",1 Tall,Breakfast,Deet's Hot Drinks,Deet's Place & DXPress at Dietrick Hall
"Chocolate Milk, Grande",vegetarian,A 20 oz. cup of milk with chocolate syrup.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Chocolate Milk, Short",vegetarian,A 12 oz. cup of milk with chocolate syrup.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Chocolate Milk, Tall",vegetarian,A 16 oz. cup of milk with chocolate syrup.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Coffee, Iced Grande",vegan,A 20 oz. cup of fresh brewed iced coffee.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Coffee, Iced Tall",vegan,A 16 oz. cup of fresh brewed iced coffee.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Cold Brew Coffee, Grande",vegan,A 20 oz. cup of iced coffee that has been steeped for an extended period.,20 Ounces,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Cold Brew Coffee, Short",vegetarian,A 12 oz. cup of iced coffee that has been steeped for an extended period.,12 Ounce,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Cold Brew Coffee, Tall",vegan,A 16 oz. cup of iced coffee that has been steeped for an extended period.,16 Ounce,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Caramel Macchiato, Grande",vegetarian,A 20 oz. cup of iced steamed milk with espresso and caramel flavoring.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Caramel Macchiato, Short",vegetarian,A 12 oz. cup of iced steamed milk with espresso and caramel flavoring.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Caramel Macchiato, Tall",vegetarian,A 16 oz. cup of iced steamed milk with espresso and caramel flavoring.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Chai, Grande",vegetarian,A 20 oz. cup of iced vanilla chai tea with milk.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Chai, Short",vegetarian,A 12 oz. cup of iced vanilla chai tea with milk.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Chai, Tall",vegetarian,A 16 oz. cup of iced vanilla chai tea with milk.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Coffee, Short",vegetarian,A 12 oz. cup of iced fresh brewed coffee.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Flavored Latte, Grande",vegetarian,A 20 oz. cup of iced espresso with steamed milk and your choice of flavoring.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Flavored Latte, Short",vegetarian,A 12 oz. cup of iced espresso with steamed milk and your choice of flavoring.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Flavored Latte, Tall",vegetarian,A 16 oz. cup of iced espresso with steamed milk and your choice of flavoring.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Latte, Grande",vegetarian,A 20 oz. cup of cold skim milk mixed with your choice of syrup flavorings served over crushed ice.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Latte, Short",vegetarian,A 12 oz. cup of cold skim milk mixed with your choice of syrup flavorings served over crushed ice.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Latte, Tall",vegan,A 16 oz. cup of cold skim milk mixed with your choice of syrup flavorings served over crushed ice.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Mocha Latte, Grande",vegetarian,A 20 oz. cup of iced brewed espresso with cold milk and mocha syrup.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Mocha Latte, Short",vegetarian,A 12 oz. cup of iced brewed espresso with cold milk and mocha syrup.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Iced Mocha Latte, Tall",vegetarian,A 16 oz. cup of iced brewed espresso with cold milk and mocha syrup.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Italian Soda, Grande",vegan,A 20 oz. cup of iced water with vanilla syrup.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Italian Soda, Short",vegan,A 12 oz. cup of iced water with vanilla syrup.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Italian Soda, Tall",vegan,A 16 oz. cup of iced water with vanilla syrup.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Milk, Grande",vegetarian,A 20 oz. cup of cold milk.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Milk, Short",vegetarian,A 12 oz. cup of cold milk.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Milk, Tall",vegetarian,A 16 oz. cup of cold milk.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Phrappuccino, Grande",vegetarian,A 20 oz. cup of creamy whole milk blended with a cold frappucino mixture with Hokie blend coffee.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Phrappuccino, Short",vegetarian,A 12 oz. cup of creamy whole milk blended with a cold frappucino mixture with Hokie blend coffee.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Phrappuccino, Tall",vegetarian,A 16 oz. cup of creamy whole milk blended with a cold frappucino mixture with Hokie blend coffee.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Chocolate Milk, Grande",vegan,A 20 oz. cup of cold soy milk with chocolate syrup.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Chocolate Milk, Short",vegan,A 12 oz. cup of cold soy milk with chocolate syrup.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Chocolate Milk, Tall",vegan,A 16 oz. cup of cold soy milk with chocolate syrup.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Caramel Macchiato, Grande",vegetarian,A 20 oz. cup of iced soy milk with espresso and caramel flavoring.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Caramel Macchiato, Short",vegetarian,A 12 oz. cup of iced soy milk with espresso and caramel flavoring.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Caramel Macchiatto, Tall",vegetarian,A 16 oz. cup of iced soy milk with espresso and caramel flavoring.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Chai, Grande",vegetarian,A 20 oz. cup of iced vanilla chai tea with soy milk.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Chai, Short",vegetarian,A 12 oz. cup of iced vanilla chai tea with soy milk.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Chai, Tall",vegetarian,A 16 oz. cup of iced vanilla chai tea with soy milk.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Flavored Latte, Grande",vegan,A 20 oz. cup of iced espresso with cold soy milk and your choice of flavoring.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Flavored Latte, Short",vegan,A 12 oz. cup of iced espresso with cold soy milk and your choice of flavoring.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Flavored Latte, Tall",vegan,A 16 oz. cup of iced espresso with cold soy milk and your choice of flavoring.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Latte, Grande",vegan,A 20 oz. cup of iced espresso with cold soy milk.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Latte, Short",vegan,A 12 oz. cup of iced espresso with cold soy milk.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Latte, Tall",vegan,A 16 oz. cup of iced espresso with cold soy milk.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Mocha, Grande",vegan,A 20 oz. cup of iced brewed espresso with cold soy milk and mocha syrup.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Mocha, Short",vegan,A 12 oz. cup of iced brewed espresso with cold soy milk and mocha syrup.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Iced Mocha, Tall",vegan,A 16 oz. cup of iced brewed espresso with cold soy milk and mocha syrup.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Milk, Grande",vegan,A 20 oz. cup of cold soy milk.,1 Grande,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Milk, Short",vegan,A 12 oz. cup of cold soy milk.,1 Short,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Soy Milk, Tall",vegan,A 16 oz. cup of cold soy milk.,1 Tall,Breakfast,Deet's Cold Drinks,Deet's Place & DXPress at Dietrick Hall
"Flatbread Panini, Cheese Pizza",vegetarian,"Flatbread panini with pizza sauce and cheese served with potato chips, a pickle, and coleslaw.",1 Sandwich,Lunch & Dinner,Deet's Sandwiches,Deet's Place & DXPress at Dietrick Hall
"Flatbread Panini, Pepperoni",,"Fresh mozzarella, tomato, and pesto sauce between two tender slices of ciabatta bread.",1 Sandwich,Lunch & Dinner,Deet's Sandwiches,Deet's Place & DXPress at Dietrick Hall
"Panini, Mozzarella",vegetarian,"Fresh mozzarella, tomato, and pesto sauce between two tender slices of ciabatta bread.",1 Sandwich,Lunch & Dinner,Deet's Sandwiches,Deet's Place & DXPress at Dietrick Hall
"Panini, Southwest Chicken",,"Tender chicken, chipotle mayonnaise, jalapeno cheese, and roasted red peppers between two slices of tasty ciabatta bread.",1 Sandwich,Lunch & Dinner,Deet's Sandwiches,Deet's Place & DXPress at Dietrick Hall
"Individual Oatmeal Cup, Apple Cinnamon",vegan,A cup of oatmeal flavored with apples and cinnamon.,1 Each,Lunch & Dinner,Deet's Grab and Go Snacks,Deet's Place & DXPress at Dietrick Hall
"Individual Oatmeal Cup, Blueberry Hazelnut",vegan,A cup of oatmeal flavored with blueberries and hazelnuts.,1 Each,Lunch & Dinner,Deet's Grab and Go Snacks,Deet's Place & DXPress at Dietrick Hall
"Individual Oatmeal Cup, Maple Brown Sugar",vegan,A cup of oatmeal flavored with maple brown sugar.,1 Each,Lunch & Dinner,Deet's Grab and Go Snacks,Deet's Place & DXPress at Dietrick Hall
"Croissant, Chocolate Hazelnut",vegetarian,"Soft, flaky, chocolate filled croissant.",1 Croissant,Lunch & Dinner,Deet's Croissants,Deet's Place & DXPress at Dietrick Hall
"Croissant, Ham-Cheddar Omelet",,Buttery croissant filled with ham and cheddar cheese.,1 Croissant,Lunch & Dinner,Deet's Croissants,Deet's Place & DXPress at Dietrick Hall
"Croissant, Spinach & Feta",vegetarian,Buttery croissant filled with spinach and feta cheese.,1 Croissant,Lunch & Dinner,Deet's Croissants,Deet's Place & DXPress at Dietrick Hall
"Bagels, Assorted",vegetarian,"An assortment of bagels are available including plain, cinnamon raisin, everything, and blueberry.",1 Bagel,Lunch & Dinner,Deet's Breads & Spreads,Deet's Place & DXPress at Dietrick Hall
Butter Patties,vegetarian,Small pad of butter.,1 Patty,Lunch & Dinner,Deet's Breads & Spreads,Deet's Place & DXPress at Dietrick Hall
"Muffin, Banana Nut",vegetarian,"A soft and fluffy muffin made with bananas and walnuts, baked with a crisp topping made of oatmeal, brown sugar, and cinnamon.",1 Muffin,Lunch & Dinner,Deet's Muffins,Deet's Place & DXPress at Dietrick Hall
"Muffin, Blueberry",vegetarian,A traditional blueberry muffin with a streusel topping.,1 Muffin,Lunch & Dinner,Deet's Muffins,Deet's Place & DXPress at Dietrick Hall
"Muffin, Double Chocolate",vegetarian,A sweet and tasty double chocolate muffin.,1 Muffin,Lunch & Dinner,Deet's Muffins,Deet's Place & DXPress at Dietrick Hall
"Muffin, Lemon Poppy",vegetarian,A traditional lemon poppyseed muffin.,1 Muffin,Lunch & Dinner,Deet's Muffins,Deet's Place & DXPress at Dietrick Hall
"Bar, Chocolate Oatmeal",vegetarian,Sweet treat of oatmeal combined with walnuts and pecans and topped with sweet chocolate.,1 Bar,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
"Bar, Rice Crispy",,Traditional rice crispy bar.,1 Bar,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
"Brownie, Espresso",vegetarian,A fudge brownie topped with espresso cream and espresso beans.,1 Bar,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
Chocolate Chunk Cookie,vegetarian,"Cookie baked with chocolate chunks, milk chocolate chunks, and Hershey's kisses.",1 Cookie,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
"Crumb Cake, Apple Caramel",vegetarian,A delectable fluffy cake with apple and caramel flavorings.,1 Each,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
M&M Cookie,vegetarian,Cookie baked with M&Ms and chocolate chunks.,1 Cookie,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
Red Velvet Cookie,vegetarian,Red velvet cookie with white chocolate and milk chocolate chunks.,1 Cookie,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
Reese's Cookie,vegetarian,Peanut butter cookie baked with Reese's Peanut Butter Cups.,1 Cookie,Lunch & Dinner,Deet's Cookies & Brownies,Deet's Place & DXPress at Dietrick Hall
"Cake, Tiramisu",vegetarian,"A creamy, delicious tiramisu.",1 Piece,Lunch & Dinner,Deet's Cakes & Pies,Deet's Place & DXPress at Dietrick Hall
Chocolate Meringue Pie,vegetarian,,1 Slice,Lunch & Dinner,Deet's Cakes & Pies,Deet's Place & DXPress at Dietrick Hall
Chocolate Eclair,vegetarian,Chocolate eclair puffed pastry topped with whipped topping and sprinkles.,1 Each,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
"Crumb Cake, Apple Caramel",vegetarian,A delectable fluffy cake with apple and caramel flavorings.,1 Each,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
"Crumb Cake, Butter",vegetarian,"A delicious, classic crumb cake.",1 Each,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
"Crumb Cake, Raspberry",vegetarian,"A tasty, fluffy crumb cake with raspberries.",1 Each,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
"Crumb Cake, Triple Chocolate",vegetarian,A rich and fluffy triple chocolate crumb cake.,1 Each,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
"Roll, Cinnamon",vegetarian,"A warm, tender cinnamon roll.",1 Roll,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
"Scone, Blueberry",vegetarian,A flavorful scone filled with blueberries.,1 Scone,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
"Scone, Cinnamon",vegetarian,A delectable scone spiced with cinnamon.,1 Scone,Lunch & Dinner,Deet's Danishes & Pastries,Deet's Place & DXPress at Dietrick Hall
Chocolate Ice Cream,vegetarian,Rich and creamy chocolate ice cream.,4 Ozl,Lunch & Dinner,Deet's Ice Cream & Toppings,Deet's Place & DXPress at Dietrick Hall
Cookies-n-Cream Ice Cream,vegetarian,Rich and creamy cookies-n-cream ice cream.,1 Scoop,Lunch & Dinner,Deet's Ice Cream & Toppings,Deet's Place & DXPress at Dietrick Hall
"Glenview Farms Ice Cream, Mint Chocolate Chip",vegetarian,Traditional and tasty mint chocolate chip ice cream.,1 Scoop,Lunch & Dinner,Deet's Ice Cream & Toppings,Deet's Place & DXPress at Dietrick Hall
Glenview Farms Strawberry Ice Cream,vegetarian,A creamy strawberry ice cream.,4 Ozl,Lunch & Dinner,Deet's Ice Cream & Toppings,Deet's Place & DXPress at Dietrick Hall
Glenview Farms Vanilla Ice Cream,vegetarian,A creamy vanilla ice cream.,4 Ozl,Lunch & Dinner,Deet's Ice Cream & Toppings,Deet's Place & DXPress at Dietrick Hall
Hot Fudge Sauce,vegetarian,"A thick, sweet hot fudge sauce.",2 Oz,Lunch & Dinner,Deet's Ice Cream & Toppings,Deet's Place & DXPress at Dietrick Hall
